Year,Trimester,District,Neighbourhood,Average _rent,Price
0,2014,1,Ciutat Vella,el Raval,average rent (euro/month),589.55
1,2014,1,Ciutat Vella,Gothic Quarter,average rent (euro/month),712.79
2,2014,1,Ciutat Vella,la Barceloneta,average rent (euro/month),540.71
4,2014,1,Eixample,Fort Pienc,average rent (euro/month),736.09
5,2014,1,Eixample,Sagrada Familia,average rent (euro/month),673.37
6,2014,1,Eixample,la Dreta de l'Eixample,average rent (euro/month),921.4
7,2014,1,Eixample,l'Antiga Esquerra de l'Eixample,average rent (euro/month),827.87
8,2014,1,Eixample,la Nova Esquerra de l'Eixample,average rent (euro/month),716.13
9,2014,1,Eixample,Sant Antoni,average rent (euro/month),693.43
10,2014,1,Sants-Montjuic,el Poble Sec,average rent (euro/month),568.0
11,2014,1,Sants-Montjuic,la Marina de Port,average rent (euro/month),553.55
12,2014,1,Sants-Montjuic,la Font de la Guatlla,average rent (euro/month),631.5
13,2014,1,Sants-Montjuic,Hostafrancs,average rent (euro/month),580.71
14,2014,1,Sants-Montjuic,la Bordeta,average rent (euro/month),604.74
15,2014,1,Sants-Montjuic,Sants - Badal,average rent (euro/month),584.27
16,2014,1,Sants-Montjuic,Sants,average rent (euro/month),605.28
17,2014,1,Les Corts,les Corts,average rent (euro/month),777.23
18,2014,1,Les Corts,la Maternitat i Sant Ramon,average rent (euro/month),700.16
19,2014,1,Les Corts,Pedralbes,average rent (euro/month),1230.0
20,2014,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",average rent (euro/month),837.33
21,2014,1,Sarria-Sant Gervasi,Sarria,average rent (euro/month),1042.16
22,2014,1,Sarria-Sant Gervasi,les Tres Torres,average rent (euro/month),1215.85
23,2014,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,average rent (euro/month),927.63
24,2014,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,average rent (euro/month),1053.7
25,2014,1,Sarria-Sant Gervasi,el Putxet i el Farro,average rent (euro/month),750.84
26,2014,1,Gracia,Vallcarca i els Penitents,average rent (euro/month),679.66
27,2014,1,Gracia,el Coll,average rent (euro/month),583.93
28,2014,1,Gracia,la Salut,average rent (euro/month),634.48
29,2014,1,Gracia,la Vila de Gracia,average rent (euro/month),679.8
30,2014,1,Gracia,el Camp d'en Grassot i Gracia Nova,average rent (euro/month),671.0
31,2014,1,Horta-Guinardo,el Baix Guinardo,average rent (euro/month),622.63
32,2014,1,Horta-Guinardo,Can Baro,average rent (euro/month),568.94
33,2014,1,Horta-Guinardo,el Guinardo,average rent (euro/month),586.5
34,2014,1,Horta-Guinardo,la Font d'en Fargues,average rent (euro/month),585.45
35,2014,1,Horta-Guinardo,el Carmel,average rent (euro/month),478.7
36,2014,1,Horta-Guinardo,la Teixonera,average rent (euro/month),492.79
37,2014,1,Horta-Guinardo,Sant Genis dels Agudells,average rent (euro/month),557.0
38,2014,1,Horta-Guinardo,Montbau,average rent (euro/month),537.94
39,2014,1,Horta-Guinardo,la Vall d'Hebron,average rent (euro/month),737.73
40,2014,1,Horta-Guinardo,Horta,average rent (euro/month),556.3
41,2014,1,Nou Barris,Vilapicina i la Torre Llobeta,average rent (euro/month),555.89
42,2014,1,Nou Barris,Porta,average rent (euro/month),523.29
43,2014,1,Nou Barris,el Turo de la Peira,average rent (euro/month),475.06
44,2014,1,Nou Barris,Can Peguera,average rent (euro/month),241.99
45,2014,1,Nou Barris,la Guineueta,average rent (euro/month),613.58
46,2014,1,Nou Barris,Canyelles,average rent (euro/month),563.33
47,2014,1,Nou Barris,les Roquetes,average rent (euro/month),461.28
48,2014,1,Nou Barris,Verdun,average rent (euro/month),503.47
49,2014,1,Nou Barris,la Prosperitat,average rent (euro/month),521.81
50,2014,1,Nou Barris,la Trinitat Nova,average rent (euro/month),442.94
51,2014,1,Nou Barris,Ciutat Meridiana,average rent (euro/month),359.27
52,2014,1,Sant Andreu,la Trinitat Vella,average rent (euro/month),461.1
53,2014,1,Sant Andreu,el Bon Pastor,average rent (euro/month),488.14
54,2014,1,Sant Andreu,Sant Andreu,average rent (euro/month),581.16
55,2014,1,Sant Andreu,la Sagrera,average rent (euro/month),626.26
56,2014,1,Sant Andreu,el Congres i els Indians,average rent (euro/month),563.42
57,2014,1,Sant Andreu,Navas,average rent (euro/month),613.47
58,2014,1,Sant Marti,el Camp de l'Arpa del Clot,average rent (euro/month),580.09
